0,"@tkofthewildboyz back home, missing out on all the fun. that's where we're at! wahhhhh!  "
0,  at work. Beautiful outside...crisp and sunny! Wish I was outside  
0,  Dishwasher broke.  Repairman came and &quot
0,  going to head into work for a while  and get some paperwork done-I've got parent-teacher conferences on Mon. 
0,"has done laundry, is writing his essay. No money, no credit, no cigarettes. Looks like today is going to be productive  "
0,"Let's buy hawaii, it's only money, baby....still in the car, still in PA  tiff's sleeping, i'm listening to the years gone by and valencia "
0,  says my goodness __ sorry n tlga.. (tears)  :'-( (blush) (unsure) http://plurk.com/p/rdr7u 
0,  Another of my diminishing supply of mornings totally wasted on FaceBook and DSI  
0,  not happy i came to work 3 hours early  
0,  mmmmmmmmmhangover. slept through training ride  
0,  @ThisismyiQ i am up this early  
0,  @mileycyrus so i have the same insomnia prob as you i slept for all of 3 hrs woke up at 5am nd couldnt go back to sleep  btw your awesome! 
0,  20 mintues late for my meeting starting @ 8  how'd I know I was going 2 be late anyway. My family.... got 2 love them 
0,  @kentucky_derby super excited! Are you tweeting the event happenings? Only way I follow this year!  
0,  I WANT ANOTHER DAY OFF!!!!  To much Sh#t to do today. Got a &quot
0,  i just jacked up this umbrella cake  
1,  @clg_cnd Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip  
1,  Home from work. Start again at 8am.  Epic. 
1,  @robdyrdek that record was funny as hell  
1,  FINDING NEMO!!!! HELL YEAH  text me: 480.299.6988 
1,  @glassidentities Yay! she's on twitter too..follow @MomDot  See you over there! 
1,  Over 500 followers! Thanks community  
1,  @jram35 aww cute! don't forget to bring me back a Georgian  
1,  @meerasapra OHH.... So how do you make this &quot
1,  @alyankovic I like the new layout.  
1,  Lunch time  http://twitpic.com/7hvpi 
1,"ok, I'm getting rather tired and my back is killing me - off for a short nap then back at it in a while  "
1,  Sitting watching tv with my gorgeous boyfriend  &lt
1,  @aleskywalker your welcome  #BSB 
1,  @feltbeats Any new photo shoot of Tom is a good thing  can't wait to see  
1,  &quot
1,  @fashionandsex Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip  
1,"Time to go pick flowers with spring.  Yeah, we're gay  "
1,  @DiamondJames @lovegisele  she is a cool chick DJ you guys would def. get along!  
1,"I will listen to You my Love, with wide open heart,    "
1,"@kippras can't begin to tell u how much i love ur interviews! also, @fabulouslorrain's &amp; her blog are totally made of awesome  "
1,"@alli_oop How's that shield doing?  You survived the day, hooray! "
1,"@xolp same same, they were screaming about it on the phone, they didn't turn up to school, lazy sods. ha btw i meant HELLO not hell  "
1,  wants to go play.  
1,  Drag Me To Hell = Awesome movie  
1,"Open up the skies with thunder Shake the world and all its wonders Come, Jesus, come  "
1,  @MarkyMark925 chapstick classic is waaaaay better.  
1,"@gfalcone601 Jodi Picoult is my favourite author, that book is so good  "
1,  @siweb Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip  
1,"@dougiemcfly GOOD! FUCK HIM! HAHAHAHHA, NO, I SAID FUCK ME!  "
1,"home sweet home :] someone send me back to thursday! awh theres a hedgehog and a kitten in my back garden, CUTE OVERLOAD!  "
1,"I love big brother, especially noirin! She's so sweet!  "
1,  @uhhitsangelaa I know! I got it recording on TiVo at home! Haha. I can't wait!  it's gonna be a good season! 
